
Mon May 27 2024 14:29:03 GMT-0700 (Pacific Daylight Time)
===================================================================================
#show processes memory
Processor Pool Total: 1333163004 Used:  327827576 Free: 1005335428
reserve P Pool Total:     102404 Used:         88 Free:     102316
 lsmpi_io Pool Total:    6295128 Used:    6294296 Free:        832
 PID TTY  Allocated      Freed    Holding    Getbufs    Retbufs Process
 159   0          0        144      29960          0          0 NGWC_MACSEC_IOSD
 160   0          0          0      29960          0          0 NGWC DOT1X Proce
 161   0          0          0      41960          0          0 ngpm main proces
 162   0          0          0      17960          0          0 ACL Logging Proc
 163   0          0          0      29960          0          0 Inline Power    
 164   0       6008   27327496      29960          0          0 CMAN IPC process
 165   0          0          0      29960          0          0 IOMD IPC process
 166   0          0          0      29960          0          0 Remote Console P
 167   0          0          0      29960          0          0 NGWC diag proces
 168   0          0          0      29960          0          0 MMN bkgrd proces
 169   0        496        496      29960          0          0 NG Backup Interf
 170   0          0          0      29960          0          0 FPD Management P
 171   0          0          0      29960          0          0 FPD Action Proce
 172   0          0          0      53960          0          0 Thermal backgrou
 173   0     666496     243912     266896         12         12 FED IPC process 
 174   0          0          0      53960          0          0 XPS background p
 175   0      17992       9464      50488          0          0 EEM ED MAT      
 176   0      20280  216803496      52776          0          0 EEM ED ND       
 177   0        448          0      30408          0          0 Src Fltr backgro
 178   0          0          0      29960          0          0 fanrp_l2fib     
 179   0      43768       9432      30816          0          0 SpanTree Helper 
 180   0  367755512  367755512      29960          0          0 MGMTE stats Proc
 181   0       9224        416      38504          4          4 SSH Event handle
 182   0      53792       2544     105208          8          8 CWAN OIR Handler
 183   0    7937384    7937384      29960          0          0 MATM RP Shim Pro
 184   0          0          0      29960          0          0 TP CUTOVER EVENT
 185   0          0          0      41960          0          0 CCK MSG Process 
 186   0          0          0      29960          0          0 IOSXE-RP FastPat
 187   0          0          0      29960          0          0 BlueTooth stats 
 188   0          0          0      29960          0          0 RTTYS Process   
 189   0        496        496      29960          0          0 PPP SIP         
 190   0        496        496      29960          0          0 PPP Bind        
 191   0        496        496      53960          0          0 PPP IP Route    
 192   0        448        448      29960          0          0 REP Topology cha
 193   0        496        496      29960          0          0 Ethchnl         
 194   0        496        496      41960          0          0 MVRP Process    
 195   0      18256        888      47328          0          0 AAA Server      
 196   0          0          0      29960          0          0 AAA ACCT Proc   
 197   0      98784          0     128744          0          0 ACCT Periodic Pr
 198   0       3872          0      45832          0          0 LISP client     
 199   0  536186720  319502592      85944     448911     448911 CDP Protocol    
 200   0          0          0     102216          0          0 WSMA_NOTIFY     
 201   0        576        576      29960          0          0 AAA Dictionary R
 202   0       3504          0      33464          0          0 FHRP Main thread
 203   0       3440          0      33400          0          0 TRACK Main threa
 204   0       3440          0      33400          0          0 TRACK Client thr
 205   0       3440          0      33400          0          0 VRRP Main thread
 206   0      37120          0      67080          0          0 VRRS Main thread
 207   0          0          0      29960          0          0 HQF BLT UPDATE  
 208   0          0          0      41960          0          0 HQF TARGET DYNAM
 209   0     804656       1168     857592          0          0 IP ARP Adjacency
 210   0      66112          0      96072          3          3 IP ARP Retry Age
 211   0          0          0      53960         17         17 IP Input        
 212   0          0          0      29960          0          0 ICMP event handl
 213   0          0          0      29960          0          0 FQDN ACL Mgr    
 214   0          0          0      29960          0          0 IPv6 ping proces
 215   0        856        448      30368          0          0 loopdetect      
 216   1    3176184    2299704     925360         52         52 SSH Process     
 217   0     100560          0     130520          0          0 radius radsec cl
 218   0          0          0      29960          0          0 RADIUS Proxy    
 219   0      22936        448      52448          0          0 UDLD            
 220   0        448        448      29960          0          0 CDP Forward Proc
 221   0          0          0      29960          0          0 802.1x switch   
 222   0       1792        448      55304     690688     690688 DTP Protocol    
 223   0        448        448      29960          0          0 FMANRP REP Helpe
 224   0        448        448      29960          0          0 REP LSL Hello Pr
 225   0        448        448      29960          0          0 PI MATM Aging Pr
 226   0  225012488  225012488      29960          0          0 mcprp callhome p
 227   0          0       6008      29960          0          0 NGWC led process
 228   0        408          0      30368          0          0 Port-Security   
 229   0       3544        288     105504          0          0 SKA IPC process 
 230   0          0          0      41960          0          0 EPM IAL Process 
 231   0        448        448     101960          0          0 SNMP DBAL WRAPPE
 232   0          0          0      29960          0          0 SNMP DBAL Cache 
 233   0          0          0      29960          0          0 SNMP DBAL Cache 
 234   0        448        448      41960          0          0 Ethernet OAM Pro
 235   0          0          0      29960          0          0 VRF GR Process  
 236   0          0          0      29960          0          0 TOPO GR Process 
 237   0          0          0      29960          0          0 MKA HA          
 238   0      82584          0     112544          0          0 Switch Backup In
 239   0       6960          0     108920          0          0 PKI/SSL IPC proc
 240   0      26864          0     128824          0          0 PKI_SSL LSC Enro
 241   0      71216      71216     101960          0          0 PKI_SSL Trustpoi
 242   0    2307632    2264976     138736         80         80 PKI/SSL WLC IPC 
 243   0        448        448      29960          0          0 PAgP xFSU Proces
 244   0          0          0      29960          0          0 PPCP RP Stats Ba
 245   0        448          0      54408          0          0 CEF switching ba
 246   0        408          0      18368          0          0 ADJ NSF process 
 247   0      19568       1096      48432          0          0 MKA             
 248   0          0          0      29960          0          0 Spanning Tree St
 249   0        448        448      29960          0          0 PIM register asy
 250   0      22024        448      30408    5179935    5179935 Spanning Tree   
 251   0        448        448      29960          0          0 SpanTree Msg    
